"id","source","target","type","fidelity","likelihood"
"B-013->precedes->B-014","B-013","B-014","precedes","",""
"B-013->precedes->B-001","B-013","B-001","precedes","",""
"B-014->precedes->B-001","B-014","B-001","precedes","",""
"B-014->precedes->B-004","B-014","B-004","precedes","",""
"B-001->precedes->B-002","B-001","B-002","precedes","",""
"B-002->precedes->B-003","B-002","B-003","precedes","",""
"B-002->precedes->B-004","B-002","B-004","precedes","",""
"B-003->precedes->B-004","B-003","B-004","precedes","",""
"B-004->precedes->B-005","B-004","B-005","precedes","",""
"B-005->precedes->B-006","B-005","B-006","precedes","",""
"B-005->precedes->B-007","B-005","B-007","precedes","",""
"B-006->precedes->B-007","B-006","B-007","precedes","",""
"B-007->precedes->B-008","B-007","B-008","precedes","",""
"B-008->precedes->B-009","B-008","B-009","precedes","",""
"B-009->precedes->B-010","B-009","B-010","precedes","",""
"B-010->precedes->B-011","B-010","B-011","precedes","",""
"B-011->precedes->B-012","B-011","B-012","precedes","",""
"M-001->operates_at->B-005","M-001","B-005","operates_at","",""
"M-001->operates_at->B-006","M-001","B-006","operates_at","",""
"M-001->operates_at->B-007","M-001","B-007","operates_at","",""
"M-001->emits->A-008","M-001","A-008","emits","direct","high"
"M-001->emits->A-002","M-001","A-002","emits","euphemism","medium"
"M-002->operates_at->B-007","M-002","B-007","operates_at","",""
"M-002->operates_at->B-008","M-002","B-008","operates_at","",""
"M-002->operates_at->B-010","M-002","B-010","operates_at","",""
"M-002->emits->A-002","M-002","A-002","emits","euphemism","high"
"M-002->emits->A-003","M-002","A-003","emits","distortion","low"
"M-002->masks->M-001","M-002","M-001","masks","",""
"M-003->operates_at->B-001","M-003","B-001","operates_at","",""
"M-003->operates_at->B-002","M-003","B-002","operates_at","",""
"M-003->emits->A-001","M-003","A-001","emits","void","medium"
"M-003->emits->A-009","M-003","A-009","emits","direct","high"
"M-003->amplifies->M-008","M-003","M-008","amplifies","",""
"M-004->operates_at->B-004","M-004","B-004","operates_at","",""
"M-004->operates_at->B-009","M-004","B-009","operates_at","",""
"M-004->emits->A-002","M-004","A-002","emits","euphemism","high"
"M-004->emits->A-005","M-004","A-005","emits","direct","medium"
"M-004->emits->A-013","M-004","A-013","emits","euphemism","medium"
"M-004->amplifies->M-013","M-004","M-013","amplifies","",""
"M-004->masks->M-001","M-004","M-001","masks","",""
"M-005->operates_at->B-013","M-005","B-013","operates_at","",""
"M-005->operates_at->B-001","M-005","B-001","operates_at","",""
"M-005->operates_at->B-003","M-005","B-003","operates_at","",""
"M-005->operates_at->B-007","M-005","B-007","operates_at","",""
"M-005->emits->A-002","M-005","A-002","emits","euphemism","high"
"M-005->emits->A-003","M-005","A-003","emits","euphemism","medium"
"M-005->masks->M-002","M-005","M-002","masks","",""
"M-006->operates_at->B-013","M-006","B-013","operates_at","",""
"M-006->operates_at->B-001","M-006","B-001","operates_at","",""
"M-006->operates_at->B-002","M-006","B-002","operates_at","",""
"M-006->operates_at->B-003","M-006","B-003","operates_at","",""
"M-006->emits->A-001","M-006","A-001","emits","void","high"
"M-006->emits->A-004","M-006","A-004","emits","noise","medium"
"M-006->amplifies->M-020","M-006","M-020","amplifies","",""
"M-007->operates_at->B-008","M-007","B-008","operates_at","",""
"M-007->operates_at->B-010","M-007","B-010","operates_at","",""
"M-007->operates_at->B-012","M-007","B-012","operates_at","",""
"M-007->emits->A-003","M-007","A-003","emits","direct","high"
"M-007->emits->A-011","M-007","A-011","emits","direct","high"
"M-007->amplifies->M-006","M-007","M-006","amplifies","",""
"M-007->masks->M-001","M-007","M-001","masks","",""
"M-007->masks->M-002","M-007","M-002","masks","",""
"M-008->operates_at->B-002","M-008","B-002","operates_at","",""
"M-008->emits->A-009","M-008","A-009","emits","direct","high"
"M-008->emits->A-002","M-008","A-002","emits","euphemism","high"
"M-008->amplifies->M-011","M-008","M-011","amplifies","",""
"M-008->amplifies->M-013","M-008","M-013","amplifies","",""
"M-009->operates_at->B-003","M-009","B-003","operates_at","",""
"M-009->operates_at->B-004","M-009","B-004","operates_at","",""
"M-009->emits->A-001","M-009","A-001","emits","void","high"
"M-009->emits->A-012","M-009","A-012","emits","noise","medium"
"M-009->amplifies->M-012","M-009","M-012","amplifies","",""
"M-009->masks->M-008","M-009","M-008","masks","",""
"M-010->operates_at->B-005","M-010","B-005","operates_at","",""
"M-010->operates_at->B-007","M-010","B-007","operates_at","",""
"M-010->operates_at->B-008","M-010","B-008","operates_at","",""
"M-010->emits->A-008","M-010","A-008","emits","distortion","medium"
"M-010->emits->A-014","M-010","A-014","emits","direct","high"
"M-010->amplifies->M-022","M-010","M-022","amplifies","",""
"M-010->masks->M-001","M-010","M-001","masks","",""
"M-011->operates_at->B-002","M-011","B-002","operates_at","",""
"M-011->operates_at->B-003","M-011","B-003","operates_at","",""
"M-011->emits->A-001","M-011","A-001","emits","void","high"
"M-011->emits->A-002","M-011","A-002","emits","euphemism","high"
"M-011->amplifies->M-008","M-011","M-008","amplifies","",""
"M-012->operates_at->B-005","M-012","B-005","operates_at","",""
"M-012->operates_at->B-007","M-012","B-007","operates_at","",""
"M-012->operates_at->B-008","M-012","B-008","operates_at","",""
"M-012->emits->A-007","M-012","A-007","emits","direct","high"
"M-012->emits->A-001","M-012","A-001","emits","noise","medium"
"M-012->amplifies->M-019","M-012","M-019","amplifies","",""
"M-013->operates_at->B-007","M-013","B-007","operates_at","",""
"M-013->operates_at->B-008","M-013","B-008","operates_at","",""
"M-013->operates_at->B-009","M-013","B-009","operates_at","",""
"M-013->emits->A-003","M-013","A-003","emits","distortion","medium"
"M-013->emits->A-004","M-013","A-004","emits","direct","high"
"M-013->amplifies->M-004","M-013","M-004","amplifies","",""
"M-013->amplifies->M-024","M-013","M-024","amplifies","",""
"M-013->masks->M-001","M-013","M-001","masks","",""
"M-014->operates_at->B-002","M-014","B-002","operates_at","",""
"M-014->operates_at->B-004","M-014","B-004","operates_at","",""
"M-014->emits->A-009","M-014","A-009","emits","direct","high"
"M-014->emits->A-002","M-014","A-002","emits","euphemism","medium"
"M-015->operates_at->B-004","M-015","B-004","operates_at","",""
"M-015->operates_at->B-008","M-015","B-008","operates_at","",""
"M-015->emits->A-010","M-015","A-010","emits","direct","high"
"M-015->emits->A-002","M-015","A-002","emits","euphemism","high"
"M-016->operates_at->B-013","M-016","B-013","operates_at","",""
"M-016->operates_at->B-014","M-016","B-014","operates_at","",""
"M-016->operates_at->B-003","M-016","B-003","operates_at","",""
"M-016->operates_at->B-004","M-016","B-004","operates_at","",""
"M-016->emits->A-012","M-016","A-012","emits","distortion","high"
"M-016->emits->A-001","M-016","A-001","emits","void","medium"
"M-016->amplifies->M-009","M-016","M-009","amplifies","",""
"M-017->operates_at->B-003","M-017","B-003","operates_at","",""
"M-017->operates_at->B-004","M-017","B-004","operates_at","",""
"M-017->operates_at->B-007","M-017","B-007","operates_at","",""
"M-017->emits->A-013","M-017","A-013","emits","direct","high"
"M-017->emits->A-002","M-017","A-002","emits","euphemism","high"
"M-017->amplifies->M-004","M-017","M-004","amplifies","",""
"M-017->masks->M-001","M-017","M-001","masks","",""
"M-018->operates_at->B-004","M-018","B-004","operates_at","",""
"M-018->operates_at->B-007","M-018","B-007","operates_at","",""
"M-018->emits->A-002","M-018","A-002","emits","euphemism","high"
"M-018->emits->A-008","M-018","A-008","emits","direct","medium"
"M-018->amplifies->M-010","M-018","M-010","amplifies","",""
"M-018->masks->M-001","M-018","M-001","masks","",""
"M-019->operates_at->B-006","M-019","B-006","operates_at","",""
"M-019->emits->A-006","M-019","A-006","emits","noise","medium"
"M-019->emits->A-002","M-019","A-002","emits","euphemism","high"
"M-019->amplifies->M-012","M-019","M-012","amplifies","",""
"M-019->masks->M-001","M-019","M-001","masks","",""
"M-020->operates_at->B-001","M-020","B-001","operates_at","",""
"M-020->operates_at->B-003","M-020","B-003","operates_at","",""
"M-020->emits->A-002","M-020","A-002","emits","void","high"
"M-020->emits->A-001","M-020","A-001","emits","void","medium"
"M-020->masks->M-006","M-020","M-006","masks","",""
"M-021->operates_at->B-011","M-021","B-011","operates_at","",""
"M-021->emits->A-011","M-021","A-011","emits","direct","high"
"M-021->emits->A-002","M-021","A-002","emits","euphemism","medium"
"M-022->operates_at->B-008","M-022","B-008","operates_at","",""
"M-022->emits->A-014","M-022","A-014","emits","direct","high"
"M-022->emits->A-002","M-022","A-002","emits","euphemism","high"
"M-022->masks->M-002","M-022","M-002","masks","",""
